smiles,compound_type,reason
[2H]C1=C(C(=C(C(=C1[2H])[2H])N(C2CCN(CC2)CCC3=CC=CC=C3)C(=O)CC)[2H])[2H],monoamine,no free amine NH found
CN(CCC[13C](=O)[13C]1=[13CH]N=[13CH][13CH]=[13CH]1)N=O,monoamine,no free amine NH found
[2H]C1(CN(CC(C1(C2=CC=CC=C2)C(=O)OCC)([2H])[2H])C)[2H],monoamine,no free amine NH found
CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,monoamine,no free amine NH found
[2H]C([2H])(C)C(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,monoamine,no free amine NH found
CN(C)/N=N/C1=C(NC=N1)C(=O)N,monoamine,no free amine NH found
[2H]C1=C(C(=C(C(=C1[2H])[2H])C2(CCCCC2)N3CCCCC3)[2H])[2H],monoamine,no free amine NH found
[2H]C1=C(C(=C(C(=C1C(=O)ON2C(=O)CCC2=O)[2H])[2H])N(C([2H])([2H])[2H])C([2H])([2H])[2H])[2H],monoamine,no free amine NH found
[2H]C([2H])([2H])N(C1=CC=C(C=C1)C(=O)ON2C(=O)CCC2=O)C([2H])([2H])[2H],monoamine,no free amine NH found
[2H]C1=C(C(=C(C(=C1C(=O)ON2C(=O)CCC2=O)[2H])[2H])N(C)C)[2H],monoamine,no free amine NH found
[2H]OC,monoalcohol,attachment failed (ester)
CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)Cl,monoamine,no free amine NH found
CCOC(=O)C1=C(N=C(C(=C1)C#N)N2CCC(CC2)C(=O)NS(=O)(=O)CC3=CC=CC=C3)C,monoamine,no free amine NH found
C1CCN(CC1)C2=NSN=C2OC(=O)N3CCCCC3,monoamine,no free amine NH found
CN(C)C1=NC2=C(N1)C(=C(C(=C2Br)Br)Br)Br,monoamine,no free amine NH found
[2H]C1=C(C(=C(C(=C1[2H])[2H])C2=C3C=C(C=CC3=NC(=O)CN2O)Cl)[2H])[2H],monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)/C=C/C(=O)C2=CC=C(S2)Br,monoamine,no free amine NH found
CC(=O)NC1=NC(=CS1)C2=CC(=CC=C2)NS(=O)(=O)C3=CC=CC4=C3C=CC=C4N(C)C,monoamine,no free amine NH found
CN1CCC(CC1)N2C(=O)C=CC(=N2)C3=C4C=CC=CN4N=C3C5=CC=CC=C5,monoamine,no free amine NH found
CC(C)CCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN3CCN(CC3)C(=O)C4CC4,monoamine,no free amine NH found
CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C,monoamine,no free amine NH found
CN(C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],monoamine,no free amine NH found
CCCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,monoamine,no free amine NH found
CCN(CC)CC,monoamine,no free amine NH found
CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,monoamine,no free amine NH found
CC1=CC=CC=C1CN(C)C,monoamine,no free amine NH found
CCN(CC)CC(=O)NC1=C(C=C(C=C1)C)C,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)CCC2=CC=CC=C2,monoamine,no free amine NH found
CN(CCC1=CC=CC=C1)C2=CC=CC=C2,monoamine,no free amine NH found
CN(C)C1=CC=C(C=C1)C=NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,monoamine,no free amine NH found
CC1(CC(CC(N1[O])(C)C)NC(=O)CBr)C,monoamine,no free amine NH found
CC1=CC=CC=C1NC(=O)/C=C(/C)\N2CCCC2,monoamine,no free amine NH found
[2H]C([2H])([2H])O[2H],monoalcohol,attachment failed (ester)
CCOC1=CC(=C(C=C1N2CCOCC2)OCC)[N+](=O)[O-],monoamine,no free amine NH found
