sidechain_smiles,monomer_smiles,source,link,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,Ra_Diiodomethane,Ra_n_Hexadecane,Ra_PTFE,RED_Water,RED_Diiodomethane,RED_n_Hexadecane,RED_PTFE
O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,O=C1NC(=O)C(O)(C2(OC(=O)[C@@H]3[C@H](C(=O)OC4(C5(O)C(=O)NC(=O)NC5=O)C(=O)NC(=O)NC4=O)[C@@H]4C=C[C@@H]3C4)C(=O)NC(=O)NC2=O)C(=O)N1,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/s432296,25.6461,63.418,72.8163,59.92899690909234,91.21470117546842,98.35372189464921,99.97230761830998,3.366797579162491,13.03067159649549,19.670744378929843,14.28175823118714
Oc1cc(CNC(=S)/C=C/c2cc(O)c(O)c(Br)c2)cc(O)c1O,O=C([C@@H]1[C@H](C(=O)N(Cc2cc(O)c(O)c(O)c2)C(=S)/C=C/c2cc(O)c(O)c(Br)c2)[C@@H]2C=C[C@@H]1C2)N(Cc1cc(O)c(O)c(O)c1)C(=S)/C=C/c1cc(O)c(O)c(Br)c1,Ambeed,https://www.ambeed.com/products/1384426-12-3.html,28.6274,1.815,85.7403,52.70283115858199,83.13713569837489,89.2331352812956,91.4845426950914,2.9608332111562916,11.876733671196414,17.84662705625912,13.069220385013057
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c12,O=C(Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c12)[C@@H]1[C@H](C(=O)Nc2cc(S(=O)(=O)O)cc3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/ph002034,29.3395,80.4534,6.4563,78.77270239270707,79.96235240567901,84.82067921356207,87.30363808141102,4.425432718691408,11.423193200811287,16.964135842712416,12.471948297344431
CSC(=NC#N)SCSc1sc(C#N)c(N)c1C#N,CSC(=NC#N)SCSc1sc(C#N)c(NC(=O)[C@@H]2[C@H](C(=O)Nc3c(C#N)sc(SCSC(=NC#N)SC)c3C#N)[C@@H]3C=C[C@@H]2C3)c1C#N,Oakwood Products,http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=17845&ExtHyperLink=1,27.7102,76.03,2.2656,76.17552113060992,74.87353671037584,79.4132514100764,81.77357922654481,4.279523659023029,10.696219530053693,15.88265028201528,11.6819398895064
Nc1cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,NS(=O)(=O)c1cc(S(N)(=O)=O)c(C(Cl)=C(Cl)Cl)cc1NC(=O)[C@@H]1[C@H](C(=O)Nc2cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc2S(N)(=O)=O)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/sial/33973?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,28.4609,73.0894,9.0228,70.98247211417758,72.48587688260382,77.55656817729881,80.10677366764935,3.9877793322571673,10.355125268943402,15.511313635459762,11.443824809664193
N#CSc1cc(SC#N)c2ccccc2c1N,N#CSc1cc(SC#N)c2ccccc2c1NC(=O)[C@@H]1[C@H](C(=O)Nc2c(SC#N)cc(SC#N)c3ccccc23)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/s929093,28.5522,71.4894,4.5165,72.02850882789397,70.93471282785319,75.70732265752105,78.33455217188644,4.046545439769324,10.133530403979027,15.141464531504209,11.190650310269492
CC(C)(C)c1cc(SC#N)c(N)c(SC#N)c1,CC(C)(C)c1cc(SC#N)c(NC(=O)[C@@H]2[C@H](C(=O)Nc3c(SC#N)cc(C(C)(C)C)cc3SC#N)[C@@H]3C=C[C@@H]2C3)c(SC#N)c1,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QB-8292,26.0011,72.8786,4.0662,71.6804785505789,70.91639588444974,75.52661574067781,77.68848927119127,4.026993176998814,10.130913697778535,15.105323148135563,11.098355610170183
CN(CCO)S(=O)(=O)c1ccc2c(c1)Cc1cc(S(=O)(=O)N(C)CCO)ccc1-2,CN(CCO)S(=O)(=O)c1ccc2c(c1)Cc1cc(S(=O)(=O)N(C)CCOC(=O)[C@@H]3[C@H](C(=O)OCCN(C)S(=O)(=O)c4ccc5c(c4)Cc4cc(S(=O)(=O)N(C)CCO)ccc4-5)[C@@H]4C=C[C@@H]3C4)ccc1-2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/r605956,30.8778,63.8156,17.8435,61.88989357698073,66.53086897801651,72.39385545037645,75.58141932360095,3.476960313313524,9.50440985400236,14.47877109007529,10.79734561765728
CC(C)(C)C(=O)C(=O)C(O)(O)C(=O)C(C)(C)C,CC(C)(C)C(=O)C(=O)C(O)(OC(=O)[C@@H]1[C@H](C(=O)OC(O)(C(=O)C(=O)C(C)(C)C)C(=O)C(C)(C)C)[C@@H]2C=C[C@@H]1C2)C(=O)C(C)(C)C,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/t275700,-13.0266,10.0586,27.6183,59.210811336190964,65.78954794714735,65.60597380643016,59.256879086651196,3.326450075066908,9.39850684959248,13.12119476128603,8.46526844095017
NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O,O=C(O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@H]1[C@@H](C(=O)O)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/sigma/g5630?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,17.9312,51.0978,51.1181,36.51379720338601,65.64078173064364,72.35114764957083,73.03086420281495,2.0513369215385397,9.377254532949092,14.470229529914167,10.432980600402136
