sidechain_smiles,monomer_smiles,linkage,source,compound_type,molecular_weight,delta_D,delta_P,delta_H,n_unmatched_atoms,has_si,n_si_atoms,used_2nd_order,approx_ring_correction,hsp_error,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,RED_Water,Ra_Diiodomethane,RED_Diiodomethane,Ra_n_Hexadecane,RED_n_Hexadecane,Ra_PTFE,RED_PTFE
Oc1cc(CNC(=S)/C=C/c2cc(O)c(O)c(Br)c2)cc(O)c1O,O=C([C@@H]1[C@H](C(=O)N(Cc2cc(O)c(O)c(O)c2)C(=S)/C=C/c2cc(O)c(O)c(Br)c2)[C@@H]2C=C[C@@H]1C2)N(Cc1cc(O)c(O)c(O)c1)C(=S)/C=C/c1cc(O)c(O)c(Br)c1,amide,Ambeed,monoamine,412.261,28.6274,1.815,85.7403,0,False,0,True,True,,28.6274,1.815,85.7403,52.70283115858199,2.9608332111562916,83.13713569837489,11.876733671196414,89.2331352812956,17.84662705625912,91.4845426950914,13.069220385013057
O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,O=C1NC(=O)C(O)(C2(OC(=O)[C@@H]3[C@H](C(=O)OC4(C5(O)C(=O)NC(=O)NC5=O)C(=O)NC(=O)NC4=O)[C@@H]4C=C[C@@H]3C4)C(=O)NC(=O)NC2=O)C(=O)N1,ester,Sigma-Aldrich,diol,286.156,25.6461,63.418,72.8163,0,False,0,True,True,,25.6461,63.418,72.8163,59.92899690909234,3.366797579162491,91.21470117546842,13.03067159649549,98.35372189464921,19.670744378929843,99.97230761830998,14.28175823118714
Nc1cc2oc3cc(=O)c(-c4ccc(O)cc4O)cc-3nc2cc1-c1ccc(O)cc1O,O=C(Nc1cc2oc3cc(=O)c(-c4ccc(O)cc4O)cc-3nc2cc1-c1ccc(O)cc1O)[C@@H]1[C@H](C(=O)Nc2cc3oc4cc(=O)c(-c5ccc(O)cc5O)cc-4nc3cc2-c2ccc(O)cc2O)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,428.4,33.6862,3.163,60.8223,6,False,0,True,True,,33.6862,3.163,60.8223,42.78803159821681,2.403821999899821,63.80113986481746,9.11444855211678,70.13185116657053,14.026370233314106,73.96647286473784,10.566638980676833
OCCNC(CO)(CO)CO,O=C([C@@H]1[C@H](C(=O)N(CCO)C(CO)(CO)CO)[C@@H]2C=C[C@@H]1C2)N(CCO)C(CO)(CO)CO,amide,Sigma-Aldrich,monoamine,165.189,18.852,28.4598,57.9607,0,False,0,True,True,,18.852,28.4598,57.9607,21.105633289006047,1.1857097353374184,57.96322658832926,8.280460941189896,64.7723226118224,12.95446452236448,65.7327268301719,9.390389547167414
O=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O,O=C(O)c1cc(N(Cc2cc(O)ccc2O)C(=O)c2cc(N(Cc3cc(O)ccc3O)C(=O)[C@H]3[C@@H](C(=O)O)[C@@H]4C=C[C@@H]3C4)ccc2O)ccc1O,amide,Sigma-Aldrich,monoamine,275.26,26.715,6.8142,55.9937,0,False,0,True,True,,26.715,6.8142,55.9937,27.83884410908614,1.5639800061284348,53.62849243946729,7.661213205638184,60.1299980153833,12.02599960307666,62.98736906182064,8.998195580260091
O=C(O)CNC(CO)(CO)CO,O=C(O)CN(C(=O)CN(C(=O)[C@H]1[C@@H](C(=O)O)[C@@H]2C=C[C@@H]1C2)C(CO)(CO)CO)C(CO)(CO)CO,amide,Sigma-Aldrich,monoamine,179.172,18.8144,26.4062,54.4185,0,False,0,True,True,,18.8144,26.4062,54.4185,17.294161735394983,0.9715821199660103,53.885663307878104,7.697951901125443,60.69554654280658,12.139109308561316,61.71064810978734,8.815806872826764
NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O,O=C(O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@H]1[C@@H](C(=O)O)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,360.327,17.9312,51.0978,51.1181,0,False,0,True,True,,17.9312,51.0978,51.1181,36.51379720338601,2.0513369215385397,65.64078173064364,9.377254532949092,72.35114764957083,14.470229529914167,73.03086420281495,10.432980600402136
Nc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1,O=C(CCc1ccc(NC(=O)[C@@H]2[C@H](C(=O)Nc3ccc(CCC(=O)c4c(O)cc(O)cc4O)cc3)[C@@H]3C=C[C@@H]2C3)cc1)c1c(O)cc(O)cc1O,amide,Sigma-Aldrich,monoamine,273.288,27.2663,5.3824,50.4339,0,False,0,True,True,,27.2663,5.3824,50.4339,27.068007346866157,1.5206745700486604,48.78213014752431,6.9688757353606166,55.259274712305086,11.051854942461016,58.49151119376213,8.355930170537446
O=C1NC(=O)C(O)(O)C(=O)N1,O=C1NC(=O)C(O)(OC(=O)[C@@H]2[C@H](C(=O)OC3(O)C(=O)NC(=O)NC3=O)[C@@H]3C=C[C@@H]2C3)C(=O)N1,ester,Thermo Fisher Scientific,diol,160.085,21.3987,32.7102,49.3605,0,False,0,True,True,,21.3987,32.7102,49.3605,21.639318174332576,1.215692032265875,52.9676660902668,7.566809441466686,60.08663005236689,12.01732601047338,61.71779055547922,8.816827222211318
NC(CO)(CO)CO,O=C(NC(CO)(CO)CO)[C@@H]1[C@H](C(=O)NC(CO)(CO)CO)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,121.136,19.2663,26.4488,49.2541,0,False,0,True,True,,19.2663,26.4488,49.2541,14.63820313460638,0.822370962618336,49.30993602723492,7.044276575319274,56.22011322480594,11.244022644961188,57.42795983673806,8.203994262391152
NC(CCCO)(CCCO)CCCO,O=C(NC(CCCO)(CCCO)CCCO)[C@@H]1[C@H](C(=O)NC(CCCO)(CCCO)CCCO)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,205.298,19.6523,17.4296,48.9949,0,False,0,True,True,,19.6523,17.4296,48.9949,10.76251937652147,0.604635920029296,45.700989741251774,6.528712820178825,52.43322270593331,10.486644541186662,53.829630161556935,7.689947165936705
O=C(O)C(O)(O)C(=O)O,O=C(OC(O)(C(=O)O)C(=O)O)[C@@H]1[C@H](C(=O)OC(O)(C(=O)O)C(=O)O)[C@@H]2C=C[C@@H]1C2,ester,Combi-Blocks,diol,136.059,16.2047,14.3212,47.5533,0,False,0,True,True,,16.2047,14.3212,47.5533,5.692270082313384,0.3197904540625497,43.44262168297397,6.206088811853425,49.66336112960942,9.932672225921884,50.155207094478236,7.165029584925462
