sidechain_smiles,monomer_smiles,linkage,source,compound_type,molecular_weight,delta_D,delta_P,delta_H,n_unmatched_atoms,has_si,n_si_atoms,used_2nd_order,approx_ring_correction,hsp_error,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,RED_Water,Ra_Diiodomethane,RED_Diiodomethane,Ra_n_Hexadecane,RED_n_Hexadecane,Ra_PTFE,RED_PTFE
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c12,O=C(Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c12)[C@@H]1[C@H](C(=O)Nc2cc(S(=O)(=O)O)cc3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,383.381,29.3395,80.4534,6.4563,6,False,0,True,True,,29.3395,80.4534,6.4563,78.77270239270707,4.425432718691408,79.96235240567901,11.423193200811287,84.82067921356207,16.964135842712416,87.30363808141102,12.471948297344431
CSC(=NC#N)SCSc1sc(C#N)c(N)c1C#N,CSC(=NC#N)SCSc1sc(C#N)c(NC(=O)[C@@H]2[C@H](C(=O)Nc3c(C#N)sc(SCSC(=NC#N)SC)c3C#N)[C@@H]3C=C[C@@H]2C3)c1C#N,amide,Oakwood Products,monoamine,325.469,27.7102,76.03,2.2656,2,False,0,True,True,,27.7102,76.03,2.2656,76.17552113060992,4.279523659023029,74.87353671037584,10.696219530053693,79.4132514100764,15.88265028201528,81.77357922654481,11.6819398895064
Nc1cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,NS(=O)(=O)c1cc(S(N)(=O)=O)c(C(Cl)=C(Cl)Cl)cc1NC(=O)[C@@H]1[C@H](C(=O)Nc2cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc2S(N)(=O)=O)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,380.662,28.4609,73.0894,9.0228,4,False,0,True,True,,28.4609,73.0894,9.0228,70.98247211417758,3.9877793322571673,72.48587688260382,10.355125268943402,77.55656817729881,15.511313635459762,80.10677366764935,11.443824809664193
CC(C)(C)c1cc(SC#N)c(N)c(SC#N)c1,CC(C)(C)c1cc(SC#N)c(NC(=O)[C@@H]2[C@H](C(=O)Nc3c(SC#N)cc(C(C)(C)C)cc3SC#N)[C@@H]3C=C[C@@H]2C3)c(SC#N)c1,amide,Combi-Blocks,monoamine,263.391,26.0011,72.8786,4.0662,0,False,0,True,True,,26.0011,72.8786,4.0662,71.6804785505789,4.026993176998814,70.91639588444974,10.130913697778535,75.52661574067781,15.105323148135563,77.68848927119127,11.098355610170183
N#CSc1cc(SC#N)c2ccccc2c1N,N#CSc1cc(SC#N)c2ccccc2c1NC(=O)[C@@H]1[C@H](C(=O)Nc2c(SC#N)cc(SC#N)c3ccccc23)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,257.343,28.5522,71.4894,4.5165,0,False,0,True,True,,28.5522,71.4894,4.5165,72.02850882789397,4.046545439769324,70.93471282785319,10.133530403979027,75.70732265752105,15.141464531504209,78.33455217188644,11.190650310269492
Nc1cc(Cl)c(S(=O)(=O)Cl)cc1S(=O)(=O)Cl,O=C(Nc1cc(Cl)c(S(=O)(=O)Cl)cc1S(=O)(=O)Cl)[C@@H]1[C@H](C(=O)Nc2cc(Cl)c(S(=O)(=O)Cl)cc2S(=O)(=O)Cl)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,324.594,27.8642,65.8794,5.3673,0,False,0,True,True,,27.8642,65.8794,5.3673,66.80922571179822,3.7533272871796752,65.16606571069026,9.309437958670037,70.02732423997078,14.005464847994157,72.72355258243371,10.389078940347673
N#CSc1cc(S(N)(=O)=O)ccc1N,N#CSc1cc(S(N)(=O)=O)ccc1NC(=O)[C@@H]1[C@H](C(=O)Nc2ccc(S(N)(=O)=O)cc2SC#N)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,229.286,26.3922,65.8036,6.1957,2,False,0,True,True,,26.3922,65.8036,6.1957,65.25702364351288,3.666124923792858,64.24829410038838,9.178327728626911,69.10796245592833,13.821592491185665,71.54303484484007,10.220433549262866
CN(CCO)S(=O)(=O)c1ccc2c(c1)Cc1cc(S(=O)(=O)N(C)CCO)ccc1-2,CN(CCO)S(=O)(=O)c1ccc2c(c1)Cc1cc(S(=O)(=O)N(C)CCOC(=O)[C@@H]3[C@H](C(=O)OCCN(C)S(=O)(=O)c4ccc5c(c4)Cc4cc(S(=O)(=O)N(C)CCO)ccc4-5)[C@@H]4C=C[C@@H]3C4)ccc1-2,ester,Sigma-Aldrich,diol,440.543,30.8778,63.8156,17.8435,0,False,0,True,True,,30.8778,63.8156,17.8435,61.88989357698073,3.476960313313524,66.53086897801651,9.50440985400236,72.39385545037645,14.47877109007529,75.58141932360095,10.79734561765728
O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1,O=C1NC(=O)C(O)(C2(OC(=O)[C@@H]3[C@H](C(=O)OC4(C5(O)C(=O)NC(=O)NC5=O)C(=O)NC(=O)NC4=O)[C@@H]4C=C[C@@H]3C4)C(=O)NC(=O)NC2=O)C(=O)N1,ester,Sigma-Aldrich,diol,286.156,25.6461,63.418,72.8163,0,False,0,True,True,,25.6461,63.418,72.8163,59.92899690909234,3.366797579162491,91.21470117546842,13.03067159649549,98.35372189464921,19.670744378929843,99.97230761830998,14.28175823118714
N#CCCN(CCC#N)S(=O)(=O)c1ccc(N)cc1,N#CCCN(CCC#N)S(=O)(=O)c1ccc(NC(=O)[C@@H]2[C@H](C(=O)Nc3ccc(S(=O)(=O)N(CCC#N)CCC#N)cc3)[C@@H]3C=C[C@@H]2C3)cc1,amide,Sigma-Aldrich,monoamine,278.337,24.5508,63.3392,7.0631,0,False,0,True,True,,24.5508,63.3392,7.0631,61.72768342332312,3.4678473833327597,60.973395680493304,8.71048509721333,65.8334598878868,13.166691977577361,67.99637843892864,9.713768348418379
