sidechain_smiles,monomer_smiles,linkage,source,compound_type,molecular_weight,delta_D,delta_P,delta_H,n_unmatched_atoms,has_si,n_si_atoms,used_2nd_order,approx_ring_correction,hsp_error,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,RED_Water,Ra_Diiodomethane,RED_Diiodomethane,Ra_n_Hexadecane,RED_n_Hexadecane,Ra_PTFE,RED_PTFE
CCC(O)(CC)C1([Si](C)(C)C)CC1,CCC(CC)(OC(=O)[C@@H]1[C@H](C(=O)OC(CC)(CC)C2([Si](C)(C)C)CC2)[C@@H]2C=C[C@@H]1C2)C1([Si](C)(C)C)CC1,ester,Sigma-Aldrich,monoalcohol,200.398,13.2982,6.2154,4.5622,0,True,2,True,True,,12.9152,-1.8222,-2.0544,48.07981256577442,2.7011130654929447,13.610937379916196,1.9444196257023136,7.305371746872298,1.4610743493744596,2.77960723124689,0.3970867473209843
CCCC/C=C/CCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O,CCCC/C=C/CCCCCCCCCC1=C(OC(=O)[C@@H]2[C@H](C(=O)OC3=C(CCCCCCCCC/C=C/CCCC)C(=O)C(OC)=CC3=O)[C@@H]3C=C[C@@H]2C3)C(=O)C=C(OC)C1=O,ester,Oakwood Products,monoalcohol,362.51,13.725,0.1296,2.6576,2,False,0,True,True,,13.725,0.1296,2.6576,42.8484769148216,2.407217804203461,9.419004932581785,1.3455721332259694,5.79673476364065,1.15934695272813,3.3588887924431203,0.4798412560633029
CC(C)(C)[Si](C)(C)OCCN,CC(C)(C)[Si](C)(C)OCCNC(=O)[C@@H]1[C@H](C(=O)NCCO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,175.348,14.7065,7.6538,5.6384,0,True,2,True,True,,14.3235,-0.383799999999999,-0.9782000000000002,46.3353871968283,2.6031116402712526,10.424117549222094,1.4891596498888706,4.090279535679685,0.818055907135937,3.412797485934376,0.48754249799062516
[13CH3][13CH]([13CH3])N[13CH]([13CH3])[13CH3],[13CH3][13CH]([13CH3])N(C(=O)[C@@H]1[C@H](C(=O)N([13CH]([13CH3])[13CH3])[13CH]([13CH3])[13CH3])[C@@H]2C=C[C@@H]1C2)[13CH]([13CH3])[13CH3],amide,Sigma-Aldrich,monoamine,107.1471,13.2529,-0.0594,3.2463,0,False,0,True,True,,13.2529,-0.0594,3.2463,42.46520511771961,2.3856856807707647,10.171552766908306,1.4530789667011865,6.905162249360981,1.3810324498721962,3.4299833366942187,0.4899976195277455
CCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O,CCCCCCCCCCCCCC1=C(OC(=O)[C@@H]2[C@H](C(=O)OC3=C(CCCCCCCCCCCCC)C(=O)C(OC)=CC3=O)[C@@H]3C=C[C@@H]2C3)C(=O)C=C(OC)C1=O,ester,Oakwood Products,monoalcohol,336.472,14.3152,0.3534,1.4298,2,False,0,True,True,,14.3152,0.3534,1.4298,43.82698191479764,2.4621899952133504,8.815907426918683,1.259415346702669,4.234022172828102,0.8468044345656203,3.550310375164405,0.5071871964520579
C=C(C)CNC,C=C(C)CN(C)C(=O)[C@@H]1[C@H](C(=O)N(C)CC(=C)C)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,85.15,13.2729,0.439,3.3949,0,False,0,True,True,,13.2729,0.439,3.3949,42.137767200576725,2.367290292167232,9.919097975622583,1.4170139965175117,6.954955402445081,1.3909910804890162,3.609837205470629,0.515691029352947
CC(C)(C)[Si](C)(C)OCCCN,CC(C)(C)[Si](C)(C)OCCCNC(=O)[C@@H]1[C@H](C(=O)NCCCO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,amide,Ambeed,monoamine,189.375,14.7391,7.0256,5.4062,0,True,2,True,True,,14.3561,-1.0119999999999996,-1.2104,46.773893156332406,2.6277468065355283,10.798101731322966,1.5425859616175666,4.195736049848706,0.8391472099697411,3.6687710476397957,0.524110149662828
CCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O,CCCCCCCCCCCC1=C(OC(=O)[C@@H]2[C@H](C(=O)OC3=C(CCCCCCCCCCC)C(=O)C(OC)=CC3=O)[C@@H]3C=C[C@@H]2C3)C(=O)C=C(OC)C1=O,ester,Oakwood Products,monoalcohol,308.418,14.247,0.8978,1.8942,2,False,0,True,True,,14.247,0.8978,1.8942,43.20862361242256,2.42745076474284,8.515294151114219,1.2164705930163169,4.610127382188047,0.9220254764376093,3.7372281814200226,0.5338897402028604
COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,COC1=C(OC)C(=O)C(CCCCCCCCCCOC(=O)[C@@H]2[C@H](C(=O)OCCCCCCCCCCC3=C(C)C(=O)C(OC)=C(OC)C3=O)[C@@H]3C=C[C@@H]2C3)=C(C)C1=O,ester,Sigma-Aldrich,monoalcohol,338.444,14.0306,-2.1148,1.5802,0,False,0,True,True,,14.0306,-2.1148,1.5802,44.664131431384625,2.50922086693172,10.410386953423009,1.487198136203287,5.250725332751658,1.0501450665503316,3.748519243648084,0.5355027490925834
CC(C)(C)N[Si](C)(C)C,CC(C)(C)N(C(=O)[C@@H]1[C@H](C(=O)N(C(C)(C)C)[Si](C)(C)C)[C@@H]2C=C[C@@H]1C2)[Si](C)(C)C,amide,Sigma-Aldrich,monoamine,145.322,11.8348,5.0854,6.4686,0,True,2,True,True,,11.4518,-2.9521999999999995,-0.1479999999999997,47.186547678337305,2.6509296448504105,15.493583245976382,2.213369035139483,10.13694045558126,2.027388091116252,3.869031119027086,0.5527187312895837
