sidechain_smiles,monomer_smiles,source,link,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,Ra_Diiodomethane,Ra_n_Hexadecane,Ra_PTFE,RED_Water,RED_Diiodomethane,RED_n_Hexadecane,RED_PTFE
C[Si](C)(C)[Si](NC12CC3CC(CC(C3)C1)C2)([Si](C)(C)C)[Si](C)(C)C,C[Si](C)(C)[Si](N(C(=O)[C@@H]1[C@H](C(=O)N(C23CC4CC(CC(C4)C2)C3)[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)[C@@H]2C=C[C@@H]1C2)C12CC3CC(CC(C3)C1)C2)([Si](C)(C)C)[Si](C)(C)C,Ambeed,https://www.ambeed.com/products/2451224-01-2.html,16.2061,-48.245,-19.4926,89.1500967391511,57.912806430011656,52.034380447930765,52.504403897197044,5.008432401075904,8.273258061430237,10.406876089586152,7.500629128171006
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c12,O=C(Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(S(=O)(=O)O)c12)[C@@H]1[C@H](C(=O)Nc2cc(S(=O)(=O)O)cc3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/ph002034,29.3395,80.4534,6.4563,78.77270239270707,79.96235240567901,84.82067921356207,87.30363808141102,4.425432718691408,11.423193200811287,16.964135842712416,12.471948297344431
CSC(=NC#N)SCSc1sc(C#N)c(N)c1C#N,CSC(=NC#N)SCSc1sc(C#N)c(NC(=O)[C@@H]2[C@H](C(=O)Nc3c(C#N)sc(SCSC(=NC#N)SC)c3C#N)[C@@H]3C=C[C@@H]2C3)c1C#N,Oakwood Products,http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=17845&ExtHyperLink=1,27.7102,76.03,2.2656,76.17552113060992,74.87353671037584,79.4132514100764,81.77357922654481,4.279523659023029,10.696219530053693,15.88265028201528,11.6819398895064
N#CSc1cc(SC#N)c2ccccc2c1N,N#CSc1cc(SC#N)c2ccccc2c1NC(=O)[C@@H]1[C@H](C(=O)Nc2c(SC#N)cc(SC#N)c3ccccc23)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/s929093,28.5522,71.4894,4.5165,72.02850882789397,70.93471282785319,75.70732265752105,78.33455217188644,4.046545439769324,10.133530403979027,15.141464531504209,11.190650310269492
CC(C)(C)c1cc(SC#N)c(N)c(SC#N)c1,CC(C)(C)c1cc(SC#N)c(NC(=O)[C@@H]2[C@H](C(=O)Nc3c(SC#N)cc(C(C)(C)C)cc3SC#N)[C@@H]3C=C[C@@H]2C3)c(SC#N)c1,Combi-Blocks,https://www.combi-blocks.com/cgi-bin/find.cgi?QB-8292,26.0011,72.8786,4.0662,71.6804785505789,70.91639588444974,75.52661574067781,77.68848927119127,4.026993176998814,10.130913697778535,15.105323148135563,11.098355610170183
Nc1cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,NS(=O)(=O)c1cc(S(N)(=O)=O)c(C(Cl)=C(Cl)Cl)cc1NC(=O)[C@@H]1[C@H](C(=O)Nc2cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc2S(N)(=O)=O)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/sial/33973?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,28.4609,73.0894,9.0228,70.98247211417758,72.48587688260382,77.55656817729881,80.10677366764935,3.9877793322571673,10.355125268943402,15.511313635459762,11.443824809664193
CC(C)(C)P(CCNCCP(C(C)(C)C)C(C)(C)C)C(C)(C)C,CC(C)(C)P(CCN(CCP(C(C)(C)C)C(C)(C)C)C(=O)[C@@H]1[C@H](C(=O)N(CCP(C(C)(C)C)C(C)(C)C)CCP(C(C)(C)C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2)C(C)(C)C,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/739022?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,-10.9998,-16.0086,8.643,70.47199247303854,61.024132301246205,57.55078664206077,50.771042958757505,3.959100700732502,8.717733185892316,11.510157328412154,7.253006136965358
CC1=C(C(=O)OC(C)(C)C)CC(C(=O)OC(C)(C)C)=C(C)N1,CC1=C(C(=O)OC(C)(C)C)CC(C(=O)OC(C)(C)C)=C(C)N1C(=O)[C@@H]1[C@H](C(=O)N2C(C)=C(C(=O)OC(C)(C)C)CC(C(=O)OC(C)(C)C)=C2C)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/659142?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,-13.3793,-3.5416,8.9388,69.5046737274552,62.89513295923621,60.132258147852724,53.03738898135918,3.904756950980629,8.9850189941766,12.026451629570545,7.576769854479883
CC(C)(C)[Si](C)(C)OCCNCCO[Si](C)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)OCCN(CCO[Si](C)(C)C(C)(C)C)C(=O)[C@@H]1[C@H](C(=O)N(CCO[Si](C)(C)C(C)(C)C)CCO[Si](C)(C)C(C)(C)C)[C@@H]2C=C[C@@H]1C2,Ambeed,https://www.ambeed.com/products/169527-49-5.html,8.2131,-28.6966,-5.3218,66.91799110284168,39.33553473946935,33.36777207486289,30.534333024318705,3.759437702406836,5.619362105638479,6.673554414972578,4.362047574902673
Nc1cc(Cl)c(S(=O)(=O)Cl)cc1S(=O)(=O)Cl,O=C(Nc1cc(Cl)c(S(=O)(=O)Cl)cc1S(=O)(=O)Cl)[C@@H]1[C@H](C(=O)Nc2cc(Cl)c(S(=O)(=O)Cl)cc2S(=O)(=O)Cl)[C@@H]2C=C[C@@H]1C2,Sigma-Aldrich,https://www.sigmaaldrich.com/catalog/product/aldrich/s602078,27.8642,65.8794,5.3673,66.80922571179822,65.16606571069026,70.02732423997078,72.72355258243371,3.7533272871796752,9.309437958670037,14.005464847994157,10.389078940347673
